p0,p1,p2,p3
18,4,0,0
18,4,0,1
12,1,0,0
12,1,0,1
12,5,0,6
17,4,0,0
17,4,0,1
18,4,0,6
13,2,0,0
17,4,0,6
12,5,0,1
12,5,0,0
13,2,0,1
12,1,0,6
11,4,3,0
17,4,1,1
18,5,3,1
18,4,1,0
17,4,1,6
18,4,1,1
18,5,3,0
13,2,0,6
18,4,1,6
12,1,1,0
12,1,1,1
11,3,1,6
12,1,1,6
17,4,3,0
17,4,3,1
17,4,1,0
11,2,1,0
11,2,1,1
11,4,3,1
11,2,1,6
13,5,1,6
17,3,3,0
17,3,3,1
11,4,3,6
17,3,3,6
13,5,1,1
13,5,1,0
12,2,0,1
12,2,0,0
11,3,3,0
12,5,1,0
12,3,3,0
12,5,3,6
13,5,0,1
13,5,0,0
12,5,3,1
12,5,3,0
12,3,3,1
11,2,3,0
11,2,3,1
12,3,3,6
11,2,3,6
18,5,3,6
12,5,1,6
12,5,1,1
13,5,0,6
17,5,0,0
17,5,0,1
13,4,1,6
11,5,0,6
17,5,0,6
12,4,1,1
12,4,1,0
13,2,3,1
13,4,0,1
17,5,1,0
17,5,1,1
11,5,0,1
11,5,0,0
17,5,1,6
13,2,1,0
13,4,1,1
13,4,1,0
12,4,0,1
12,4,0,0
13,2,3,6
11,3,0,0
18,5,0,0
18,5,0,1
17,5,3,0
17,5,3,1
11,3,0,1
13,4,0,6
17,5,3,6
18,5,0,6
12,4,0,6
17,4,3,6
13,2,1,1
18,4,3,0
18,4,3,1
11,3,1,1
13,2,1,6
18,4,3,6
11,5,3,6
11,3,1,0
11,5,3,1
11,5,3,0
13,4,3,6
13,4,3,1
13,4,3,0
12,4,1,6
12,4,3,6
12,1,3,1
18,5,1,6
12,4,3,1
12,4,3,0
12,1,3,6
11,5,1,6
11,3,0,6
18,5,1,1
11,5,1,1
11,5,1,0
18,5,1,0
13,4,0,0
13,2,3,0
12,1,3,0
13,1,0,0
13,1,0,1
11,1,3,0
18,2,3,0
18,2,3,1
11,1,3,1
18,2,3,6
17,2,0,0
17,2,0,1
11,1,3,6
17,2,0,6
13,1,0,6
11,4,0,0
17,2,1,0
11,4,1,0
11,4,0,1
13,1,1,0
17,2,1,6
13,1,1,1
18,1,3,6
18,1,3,1
18,1,3,0
13,1,1,6
11,4,0,6
17,2,3,0
17,2,3,1
13,3,3,0
13,3,3,1
17,2,3,6
17,2,1,1
13,3,0,6
17,1,3,0
17,1,3,1
11,1,0,6
18,2,0,0
17,1,3,6
18,2,0,1
11,1,1,0
11,1,1,1
18,2,0,6
17,1,1,6
11,1,0,1
11,1,0,0
17,1,1,1
12,2,3,0
12,2,3,6
18,2,1,0
18,2,1,1
17,1,0,6
11,1,1,6
13,3,0,1
17,1,0,1
17,1,0,0
18,2,1,6
13,3,1,0
13,3,1,1
13,3,0,0
12,2,3,1
13,3,1,6
17,1,1,0
18,1,0,0
12,2,1,1
18,3,1,0
18,3,1,1
12,3,0,6
12,2,1,0
18,3,1,6
11,3,3,6
11,2,0,0
11,2,0,1
13,5,3,6
17,3,0,0
17,3,0,1
18,1,0,1
12,3,1,1
17,3,0,6
13,5,3,1
13,5,3,0
18,3,3,0
18,3,3,1
17,3,1,0
17,3,1,1
11,2,0,6
17,3,1,6
18,3,3,6
12,2,0,6
11,3,3,1
12,3,1,0
13,3,3,6
13,1,3,1
11,4,1,1
13,1,3,6
18,1,1,0
18,1,0,6
18,3,0,0
18,1,1,1
18,3,0,1
12,3,0,0
13,1,3,0
12,2,1,6
12,3,0,1
11,4,1,6
18,1,1,6
12,3,1,6
18,3,0,6
