p0,p1,p2,p3
19,14,5,5
5,0,0,0
5,0,0,1
5,0,0,2
5,0,0,3
5,0,0,4
5,0,0,5
5,0,1,0
5,0,1,1
5,0,1,2
5,0,1,3
5,0,1,4
5,0,1,5
5,0,2,0
5,0,2,1
5,0,2,2
19,8,5,2
19,8,5,3
19,8,5,4
19,8,5,5
19,14,0,0
19,14,0,1
19,14,0,2
19,14,0,3
19,8,4,0
19,8,4,1
19,8,4,2
19,8,4,3
19,8,4,4
19,8,4,5
19,8,5,0
19,8,5,1
19,8,2,4
19,8,2,5
19,8,3,0
19,8,3,1
19,8,3,2
19,8,3,3
19,8,3,4
19,8,3,5
19,8,1,2
19,8,1,3
19,8,1,4
19,8,1,5
19,8,2,0
19,8,2,1
19,8,2,2
19,8,2,3
5,3,0,0
5,3,0,1
5,3,0,2
5,3,0,3
5,3,0,4
5,3,0,5
5,3,1,0
5,3,1,1
5,1,4,4
5,1,4,5
5,1,5,0
5,1,5,1
5,1,5,2
5,1,5,3
5,1,5,4
5,1,5,5
5,1,3,2
5,1,3,3
5,1,3,4
5,1,3,5
5,1,4,0
5,1,4,1
5,1,4,2
5,1,4,3
5,1,2,0
5,1,2,1
5,1,2,2
5,1,2,3
5,1,2,4
5,1,2,5
5,1,3,0
5,1,3,1
5,3,5,2
5,3,5,3
5,3,5,4
5,3,5,5
5,6,0,0
5,6,0,1
5,6,0,2
5,6,0,3
5,3,4,0
5,3,4,1
5,3,4,2
5,3,4,3
5,3,4,4
5,3,4,5
5,3,5,0
5,3,5,1
5,3,2,4
5,3,2,5
5,3,3,0
5,3,3,1
5,3,3,2
5,3,3,3
5,3,3,4
5,3,3,5
5,3,1,2
5,3,1,3
5,3,1,4
5,3,1,5
5,3,2,0
5,3,2,1
5,3,2,2
5,3,2,3
5,6,4,4
5,6,4,5
5,6,5,0
5,6,5,1
5,6,5,2
5,6,5,3
5,6,5,4
5,6,5,5
5,6,3,2
5,6,3,3
5,6,3,4
5,6,3,5
5,6,4,0
5,6,4,1
5,6,4,2
5,6,4,3
5,6,2,0
5,6,2,1
5,6,2,2
5,6,2,3
5,6,2,4
5,6,2,5
5,6,3,0
5,6,3,1
5,6,0,4
5,6,0,5
5,6,1,0
5,6,1,1
5,6,1,2
5,6,1,3
5,6,1,4
5,6,1,5
5,8,4,0
5,8,4,1
5,8,4,2
5,8,4,3
5,8,4,4
5,8,4,5
5,8,5,0
5,8,5,1
5,8,2,4
5,8,2,5
5,8,3,0
5,8,3,1
5,8,3,2
5,8,3,3
5,8,3,4
5,8,3,5
5,8,1,2
5,8,1,3
5,8,1,4
5,8,1,5
5,8,2,0
5,8,2,1
5,8,2,2
5,8,2,3
5,8,0,0
5,8,0,1
5,8,0,2
5,8,0,3
5,8,0,4
5,8,0,5
5,8,1,0
5,8,1,1
5,14,3,2
5,14,3,3
5,14,3,4
5,14,3,5
5,14,4,0
5,14,4,1
5,14,4,2
5,14,4,3
5,14,2,0
5,14,2,1
5,14,2,2
5,14,2,3
5,14,2,4
5,14,2,5
5,14,3,0
5,14,3,1
5,14,0,4
5,14,0,5
5,14,1,0
5,14,1,1
5,14,1,2
5,14,1,3
5,14,1,4
5,14,1,5
5,8,5,2
5,8,5,3
5,8,5,4
5,8,5,5
5,14,0,0
5,14,0,1
5,14,0,2
5,14,0,3
10,0,2,4
10,0,2,5
10,0,3,0
10,0,3,1
10,0,3,2
10,0,3,3
10,0,3,4
10,0,3,5
10,0,1,2
10,0,1,3
10,0,1,4
10,0,1,5
10,0,2,0
10,0,2,1
10,0,2,2
10,0,2,3
10,0,0,0
10,0,0,1
10,0,0,2
10,0,0,3
10,0,0,4
10,0,0,5
10,0,1,0
10,0,1,1
5,14,4,4
5,14,4,5
5,14,5,0
5,14,5,1
5,14,5,2
5,14,5,3
5,14,5,4
5,14,5,5
10,1,2,0
10,1,2,1
10,1,2,2
10,1,2,3
10,1,2,4
10,1,2,5
10,1,3,0
10,1,3,1
10,1,0,4
10,1,0,5
10,1,1,0
10,1,1,1
10,1,1,2
10,1,1,3
10,1,1,4
10,1,1,5
10,0,5,2
10,0,5,3
10,0,5,4
10,0,5,5
10,1,0,0
10,1,0,1
10,1,0,2
10,1,0,3
10,0,4,0
10,0,4,1
10,0,4,2
10,0,4,3
10,0,4,4
10,0,4,5
10,0,5,0
10,0,5,1
10,3,1,2
10,3,1,3
10,3,1,4
10,3,1,5
10,3,2,0
10,3,2,1
10,3,2,2
10,3,2,3
10,3,0,0
10,3,0,1
10,3,0,2
10,3,0,3
10,3,0,4
10,3,0,5
10,3,1,0
10,3,1,1
10,1,4,4
10,1,4,5
10,1,5,0
10,1,5,1
10,1,5,2
10,1,5,3
10,1,5,4
10,1,5,5
10,1,3,2
10,1,3,3
10,1,3,4
10,1,3,5
10,1,4,0
10,1,4,1
10,1,4,2
10,1,4,3
10,6,0,4
10,6,0,5
10,6,1,0
10,6,1,1
10,6,1,2
10,6,1,3
10,6,1,4
10,6,1,5
10,3,5,2
10,3,5,3
10,3,5,4
10,3,5,5
10,6,0,0
10,6,0,1
10,6,0,2
10,6,0,3
10,3,4,0
10,3,4,1
10,3,4,2
10,3,4,3
10,3,4,4
10,3,4,5
10,3,5,0
10,3,5,1
