p0,p1,p2,p3
19,0,18,13
14,0,0,0
14,0,0,1
14,0,0,2
14,0,0,3
14,0,0,4
14,0,0,5
14,0,0,6
14,0,0,7
14,0,0,8
14,0,0,9
14,0,0,10
14,0,0,11
14,0,0,12
14,0,0,13
14,0,1,0
14,0,1,1
14,0,1,2
14,0,1,3
14,0,1,4
14,0,1,5
14,0,1,6
14,0,1,7
14,0,1,8
14,0,1,9
14,0,1,10
14,0,1,11
14,0,1,12
19,0,16,2
19,0,16,3
19,0,16,4
19,0,16,5
19,0,16,6
19,0,16,7
19,0,16,8
19,0,16,9
19,0,15,8
19,0,15,9
19,0,15,10
19,0,15,11
19,0,15,12
19,0,15,13
19,0,16,0
19,0,16,1
19,0,15,0
19,0,15,1
19,0,15,2
19,0,15,3
19,0,15,4
19,0,15,5
19,0,15,6
19,0,15,7
19,0,14,6
19,0,14,7
19,0,14,8
19,0,14,9
19,0,14,10
19,0,14,11
19,0,14,12
19,0,14,13
14,0,6,0
14,0,6,1
14,0,6,2
14,0,6,3
14,0,6,4
14,0,6,5
14,0,6,6
14,0,6,7
14,0,5,6
14,0,5,7
14,0,5,8
14,0,5,9
14,0,5,10
14,0,5,11
14,0,5,12
14,0,5,13
14,0,4,12
14,0,4,13
14,0,5,0
14,0,5,1
14,0,5,2
14,0,5,3
14,0,5,4
14,0,5,5
14,0,4,4
14,0,4,5
14,0,4,6
14,0,4,7
14,0,4,8
14,0,4,9
14,0,4,10
14,0,4,11
14,0,8,4
14,0,8,5
14,0,8,6
14,0,8,7
14,0,8,8
14,0,8,9
14,0,8,10
14,0,8,11
14,0,7,10
14,0,7,11
14,0,7,12
14,0,7,13
14,0,8,0
14,0,8,1
14,0,8,2
14,0,8,3
14,0,7,2
14,0,7,3
14,0,7,4
14,0,7,5
14,0,7,6
14,0,7,7
14,0,7,8
14,0,7,9
14,0,6,8
14,0,6,9
14,0,6,10
14,0,6,11
14,0,6,12
14,0,6,13
14,0,7,0
14,0,7,1
14,0,10,8
14,0,10,9
14,0,10,10
14,0,10,11
14,0,10,12
14,0,10,13
14,0,11,0
14,0,11,1
14,0,10,0
14,0,10,1
14,0,10,2
14,0,10,3
14,0,10,4
14,0,10,5
14,0,10,6
14,0,10,7
14,0,9,6
14,0,9,7
14,0,9,8
14,0,9,9
14,0,9,10
14,0,9,11
14,0,9,12
14,0,9,13
14,0,8,12
14,0,8,13
14,0,9,0
14,0,9,1
14,0,9,2
14,0,9,3
14,0,9,4
14,0,9,5
14,0,12,12
14,0,12,13
14,0,13,0
14,0,13,1
14,0,13,2
14,0,13,3
14,0,13,4
14,0,13,5
14,0,12,4
14,0,12,5
14,0,12,6
14,0,12,7
14,0,12,8
14,0,12,9
14,0,12,10
14,0,12,11
14,0,11,10
14,0,11,11
14,0,11,12
14,0,11,13
14,0,12,0
14,0,12,1
14,0,12,2
14,0,12,3
14,0,11,2
14,0,11,3
14,0,11,4
14,0,11,5
14,0,11,6
14,0,11,7
14,0,11,8
14,0,11,9
14,0,15,2
14,0,15,3
14,0,15,4
14,0,15,5
14,0,15,6
14,0,15,7
14,0,15,8
14,0,15,9
14,0,14,8
14,0,14,9
14,0,14,10
14,0,14,11
14,0,14,12
14,0,14,13
14,0,15,0
14,0,15,1
14,0,14,0
14,0,14,1
14,0,14,2
14,0,14,3
14,0,14,4
14,0,14,5
14,0,14,6
14,0,14,7
14,0,13,6
14,0,13,7
14,0,13,8
14,0,13,9
14,0,13,10
14,0,13,11
14,0,13,12
14,0,13,13
14,0,17,6
14,0,17,7
14,0,17,8
14,0,17,9
14,0,17,10
14,0,17,11
14,0,17,12
14,0,17,13
14,0,16,12
14,0,16,13
14,0,17,0
14,0,17,1
14,0,17,2
14,0,17,3
14,0,17,4
14,0,17,5
14,0,16,4
14,0,16,5
14,0,16,6
14,0,16,7
14,0,16,8
14,0,16,9
14,0,16,10
14,0,16,11
14,0,15,10
14,0,15,11
14,0,15,12
14,0,15,13
14,0,16,0
14,0,16,1
14,0,16,2
14,0,16,3
15,0,0,10
15,0,0,11
15,0,0,12
15,0,0,13
15,0,1,0
15,0,1,1
15,0,1,2
15,0,1,3
15,0,0,2
15,0,0,3
15,0,0,4
15,0,0,5
15,0,0,6
15,0,0,7
15,0,0,8
15,0,0,9
14,0,18,8
14,0,18,9
14,0,18,10
14,0,18,11
14,0,18,12
14,0,18,13
15,0,0,0
15,0,0,1
14,0,18,0
14,0,18,1
14,0,18,2
14,0,18,3
14,0,18,4
14,0,18,5
14,0,18,6
14,0,18,7
15,0,3,0
15,0,3,1
15,0,3,2
15,0,3,3
15,0,3,4
15,0,3,5
15,0,3,6
15,0,3,7
15,0,2,6
15,0,2,7
15,0,2,8
15,0,2,9
15,0,2,10
15,0,2,11
15,0,2,12
15,0,2,13
15,0,1,12
15,0,1,13
15,0,2,0
15,0,2,1
15,0,2,2
15,0,2,3
15,0,2,4
15,0,2,5
15,0,1,4
15,0,1,5
15,0,1,6
15,0,1,7
15,0,1,8
15,0,1,9
15,0,1,10
15,0,1,11
15,0,5,4
15,0,5,5
15,0,5,6
15,0,5,7
15,0,5,8
15,0,5,9
15,0,5,10
15,0,5,11
15,0,4,10
15,0,4,11
15,0,4,12
15,0,4,13
15,0,5,0
15,0,5,1
15,0,5,2
15,0,5,3
15,0,4,2
15,0,4,3
15,0,4,4
15,0,4,5
15,0,4,6
15,0,4,7
15,0,4,8
15,0,4,9
15,0,3,8
15,0,3,9
15,0,3,10
15,0,3,11
15,0,3,12
15,0,3,13
15,0,4,0
15,0,4,1
15,0,7,8
15,0,7,9
15,0,7,10
15,0,7,11
15,0,7,12
15,0,7,13
15,0,8,0
15,0,8,1
15,0,7,0
15,0,7,1
15,0,7,2
15,0,7,3
15,0,7,4
15,0,7,5
15,0,7,6
15,0,7,7
15,0,6,6
15,0,6,7
15,0,6,8
15,0,6,9
15,0,6,10
15,0,6,11
15,0,6,12
15,0,6,13
15,0,5,12
15,0,5,13
15,0,6,0
15,0,6,1
15,0,6,2
15,0,6,3
15,0,6,4
15,0,6,5
15,0,9,12
15,0,9,13
15,0,10,0
15,0,10,1
15,0,10,2
15,0,10,3
15,0,10,4
15,0,10,5
15,0,9,4
15,0,9,5
15,0,9,6
15,0,9,7
15,0,9,8
15,0,9,9
15,0,9,10
15,0,9,11
15,0,8,10
15,0,8,11
15,0,8,12
15,0,8,13
15,0,9,0
15,0,9,1
15,0,9,2
15,0,9,3
15,0,8,2
15,0,8,3
15,0,8,4
15,0,8,5
15,0,8,6
15,0,8,7
15,0,8,8
15,0,8,9
15,0,12,2
15,0,12,3
15,0,12,4
15,0,12,5
15,0,12,6
15,0,12,7
15,0,12,8
15,0,12,9
15,0,11,8
15,0,11,9
15,0,11,10
15,0,11,11
15,0,11,12
15,0,11,13
15,0,12,0
15,0,12,1
15,0,11,0
15,0,11,1
15,0,11,2
15,0,11,3
15,0,11,4
15,0,11,5
15,0,11,6
15,0,11,7
15,0,10,6
15,0,10,7
15,0,10,8
15,0,10,9
15,0,10,10
15,0,10,11
15,0,10,12
15,0,10,13
15,0,14,6
15,0,14,7
15,0,14,8
15,0,14,9
15,0,14,10
15,0,14,11
15,0,14,12
15,0,14,13
15,0,13,12
15,0,13,13
15,0,14,0
15,0,14,1
15,0,14,2
15,0,14,3
15,0,14,4
15,0,14,5
15,0,13,4
15,0,13,5
15,0,13,6
15,0,13,7
15,0,13,8
15,0,13,9
15,0,13,10
15,0,13,11
15,0,12,10
15,0,12,11
15,0,12,12
15,0,12,13
15,0,13,0
15,0,13,1
15,0,13,2
15,0,13,3
15,0,16,10
15,0,16,11
15,0,16,12
15,0,16,13
15,0,17,0
15,0,17,1
15,0,17,2
15,0,17,3
15,0,16,2
15,0,16,3
15,0,16,4
15,0,16,5
15,0,16,6
15,0,16,7
15,0,16,8
15,0,16,9
15,0,15,8
15,0,15,9
15,0,15,10
15,0,15,11
15,0,15,12
15,0,15,13
15,0,16,0
15,0,16,1
15,0,15,0
15,0,15,1
15,0,15,2
15,0,15,3
15,0,15,4
15,0,15,5
15,0,15,6
15,0,15,7
16,0,0,0
16,0,0,1
16,0,0,2
16,0,0,3
16,0,0,4
16,0,0,5
16,0,0,6
16,0,0,7
15,0,18,6
15,0,18,7
15,0,18,8
15,0,18,9
15,0,18,10
15,0,18,11
15,0,18,12
15,0,18,13
15,0,17,12
15,0,17,13
15,0,18,0
15,0,18,1
