p0,p1,p2,p3
10,3,3,0
9,13,0,0
7,8,1,0
12,12,3,0
9,3,1,0
6,9,3,0
10,13,0,0
9,8,1,0
11,5,1,0
6,8,0,0
6,4,1,0
6,13,0,0
13,13,1,0
8,4,1,0
11,8,1,0
9,3,0,0
8,10,1,0
12,12,1,0
8,13,3,0
11,12,3,0
6,9,1,0
9,8,3,0
7,3,0,0
8,12,1,0
6,13,1,0
10,12,0,0
7,8,0,0
7,12,0,0
13,10,1,0
11,10,1,0
11,4,0,0
13,4,3,0
10,9,0,0
9,13,1,0
6,5,1,0
10,3,1,0
7,4,3,0
7,12,1,0
12,5,3,0
8,10,0,0
13,8,3,0
6,4,0,0
13,10,0,0
7,8,3,0
8,4,0,0
9,3,3,0
8,3,0,0
7,3,1,0
9,8,0,0
11,8,3,0
11,10,3,0
7,12,3,0
8,12,3,0
9,9,1,0
10,4,0,0
10,12,3,0
13,5,0,0
12,10,1,0
10,8,0,0
13,9,1,0
11,3,0,0
7,5,3,0
7,13,3,0
9,12,1,0
11,3,3,0
12,8,1,0
6,5,0,0
9,9,0,0
9,12,3,0
7,5,0,0
12,8,0,0
10,8,1,0
13,5,1,0
7,5,1,0
11,3,1,0
13,9,0,0
11,12,0,0
12,3,0,0
10,4,3,0
12,10,3,0
10,4,1,0
12,12,0,0
8,5,3,0
11,8,0,0
6,4,3,0
8,10,3,0
6,8,1,0
12,9,0,0
6,9,0,0
8,4,3,0
6,13,3,0
9,12,0,0
12,3,3,0
12,10,0,0
10,8,3,0
8,5,1,0
10,12,1,0
7,13,0,0
12,8,3,0
8,12,0,0
13,9,3,0
13,5,3,0
9,9,3,0
11,12,1,0
8,5,0,0
7,13,1,0
6,8,3,0
12,3,1,0
11,5,3,0
11,9,0,0
8,8,3,0
9,4,1,0
10,10,1,0
9,5,3,0
7,9,1,0
10,5,3,0
6,5,3,0
8,9,3,0
13,4,0,0
11,13,1,0
8,3,3,0
8,9,0,0
12,9,3,0
13,3,1,0
10,9,3,0
12,4,3,0
6,10,0,0
12,13,1,0
6,12,1,0
9,4,0,0
7,9,0,0
7,4,0,0
6,3,0,0
10,10,0,0
11,9,1,0
8,9,1,0
13,3,3,0
7,10,1,0
6,10,3,0
9,5,1,0
9,4,3,0
8,13,0,0
12,13,3,0
10,13,3,0
13,12,3,0
7,9,3,0
7,10,3,0
12,9,1,0
12,4,1,0
11,4,3,0
9,5,0,0
6,10,1,0
9,10,1,0
6,12,0,0
11,13,0,0
13,3,0,0
13,4,1,0
9,10,0,0
11,10,0,0
8,8,0,0
13,10,3,0
13,12,1,0
13,13,0,0
10,9,1,0
6,12,3,0
9,13,3,0
13,12,0,0
10,13,1,0
8,13,1,0
12,5,1,0
11,5,0,0
10,3,0,0
11,13,3,0
13,13,3,0
13,8,0,0
7,4,1,0
10,5,0,0
7,10,0,0
9,10,3,0
8,8,1,0
8,3,1,0
12,4,0,0
10,5,1,0
6,3,1,0
10,10,3,0
13,8,1,0
11,4,1,0
7,3,3,0
12,13,0,0
11,9,3,0
12,5,0,0
6,3,3,0
