p0,p1,p2,p3
2,4,1,8
2,4,1,9
2,4,1,10
7,1,1,3
7,1,1,2
7,1,1,1
11,2,3,3
15,3,1,8
15,3,1,7
15,3,1,6
15,3,1,5
15,3,1,4
15,3,1,3
7,1,0,10
7,1,0,9
7,1,0,8
7,1,0,7
7,1,1,0
2,4,0,1
2,4,0,2
2,4,0,3
2,4,0,4
2,4,0,5
2,4,0,6
2,4,0,7
2,4,0,8
2,4,0,9
2,4,1,4
7,1,1,9
7,1,1,8
7,1,1,7
7,1,1,6
7,1,1,5
7,1,1,4
2,4,1,0
2,4,1,1
2,4,1,2
2,4,1,3
2,4,0,10
12,5,1,8
12,5,1,7
12,5,1,6
12,5,1,5
4,2,0,0
4,2,0,1
4,2,0,2
4,2,0,3
4,2,0,4
7,1,0,6
4,2,0,6
4,2,0,7
4,2,0,8
4,2,0,9
4,2,0,10
9,5,3,10
9,5,3,9
9,5,3,8
9,5,3,7
11,2,1,4
4,2,0,5
7,1,0,5
7,1,0,4
7,1,0,3
7,1,0,2
7,1,0,1
2,4,3,0
2,4,3,1
2,4,3,2
2,4,3,3
2,4,3,4
12,5,1,9
2,4,3,6
2,4,3,7
2,4,3,8
2,4,3,9
2,4,3,10
7,1,0,0
15,3,1,2
15,3,1,1
17,3,3,0
12,5,1,10
2,4,3,5
4,1,0,3
4,1,0,4
4,1,0,5
4,1,0,6
4,1,0,7
4,1,0,8
4,1,0,9
4,1,0,10
12,5,3,9
2,4,0,0
7,1,3,9
7,1,3,8
7,1,3,7
7,1,3,6
4,1,1,0
4,1,1,1
4,1,1,2
4,1,1,3
4,1,1,4
4,1,1,5
7,1,3,10
11,2,3,4
11,2,3,5
11,2,3,6
11,2,3,7
11,3,3,10
17,3,1,0
17,3,1,1
17,3,1,2
17,3,1,3
4,1,0,2
17,3,1,5
17,3,1,6
17,3,1,7
17,3,1,8
17,3,1,9
17,3,1,10
11,3,3,9
12,5,3,10
4,1,0,0
4,1,0,1
17,3,1,4
11,3,3,5
11,3,3,4
4,1,3,0
4,1,3,1
4,1,3,2
4,1,3,3
4,1,3,4
4,1,3,5
4,1,3,6
4,1,1,6
4,1,3,8
4,1,3,9
4,1,3,10
11,3,3,3
7,5,3,0
7,5,3,1
7,5,3,2
15,3,1,10
15,3,1,9
7,1,1,10
4,1,3,7
4,1,1,7
4,1,1,8
4,1,1,9
4,1,1,10
7,1,3,5
7,1,3,4
7,1,3,3
7,1,3,2
7,1,3,1
7,1,3,0
11,3,3,6
12,5,3,7
12,5,3,6
12,5,3,5
12,5,3,4
12,5,3,3
12,5,3,2
12,5,3,1
12,5,3,0
11,3,3,8
11,3,3,7
12,5,3,8
12,1,1,4
12,1,1,5
12,1,1,6
12,1,1,7
12,1,1,8
12,1,1,9
12,1,1,10
17,1,1,10
17,1,1,9
17,2,3,4
15,4,1,10
15,4,1,9
15,4,1,8
15,4,1,7
15,4,1,6
15,4,1,5
15,4,1,4
15,4,1,3
15,4,1,2
15,4,1,1
17,1,1,8
11,2,0,1
11,2,0,0
11,2,1,7
11,2,1,8
11,4,3,0
11,4,3,1
11,4,3,2
11,4,3,3
11,4,3,4
12,1,1,3
11,4,3,6
11,4,3,7
11,4,3,8
11,4,3,9
11,4,3,10
11,2,1,9
11,2,1,10
12,1,1,0
12,1,1,1
12,1,1,2
11,4,3,5
15,4,3,7
15,4,3,8
15,4,3,9
17,1,0,10
17,1,0,9
17,1,0,8
12,1,3,0
12,1,3,1
2,1,0,0
15,4,1,0
2,1,0,2
2,1,0,3
2,1,0,4
2,1,0,5
2,1,0,6
2,1,0,7
2,1,0,8
2,1,0,9
2,1,0,10
12,1,3,2
2,1,0,1
17,1,1,7
17,1,1,6
17,1,1,5
17,1,1,4
17,1,1,3
17,1,1,2
15,4,0,10
15,4,0,9
15,4,0,8
15,4,0,7
15,4,3,6
15,4,0,5
15,4,0,4
15,4,0,3
15,4,0,2
15,4,0,1
15,4,0,0
17,1,1,1
17,1,1,0
15,4,3,4
15,4,3,5
15,4,0,6
11,2,0,10
11,2,0,9
11,2,0,8
17,1,3,0
11,4,1,0
7,4,3,10
7,4,3,9
7,4,3,8
7,4,3,7
7,4,0,0
7,4,3,5
7,4,3,4
7,4,3,3
7,4,3,2
7,4,3,1
7,4,3,0
11,4,1,1
11,4,1,2
11,4,1,3
11,4,1,4
7,4,3,6
11,2,1,3
11,2,1,2
11,2,1,1
11,2,1,0
15,4,3,3
15,4,3,2
15,4,3,1
15,4,3,0
11,4,0,0
11,2,1,6
11,4,0,2
11,4,0,3
11,4,0,4
11,4,0,5
11,4,0,6
11,4,0,7
11,4,0,8
11,4,0,9
11,4,0,10
11,2,1,5
11,4,0,1
7,4,1,3
7,4,1,2
7,4,1,1
7,4,1,0
11,2,0,7
11,2,0,6
11,2,0,5
11,2,0,4
11,2,0,3
11,4,1,5
7,4,0,10
7,4,0,9
7,4,0,8
7,4,0,7
7,4,0,6
7,4,0,5
7,4,0,4
7,4,0,3
7,4,0,2
7,4,0,1
11,2,0,2
11,4,1,6
11,4,1,7
11,4,1,8
11,4,1,9
11,4,1,10
17,1,3,1
17,1,3,2
17,1,3,3
17,1,3,4
17,1,3,5
7,4,1,4
17,1,3,7
17,1,3,8
17,1,3,9
17,1,3,10
7,4,1,10
7,4,1,9
7,4,1,8
7,4,1,7
7,4,1,6
7,4,1,5
17,1,3,6
17,2,1,5
17,2,1,6
17,2,1,7
17,2,1,8
17,2,1,9
17,2,1,10
17,1,0,1
17,1,0,0
11,1,3,10
12,1,3,3
11,1,3,8
11,1,3,7
11,1,3,6
11,1,3,5
11,5,3,0
11,5,3,1
2,2,0,0
2,2,0,1
2,2,0,2
2,2,0,3
11,1,3,9
17,1,0,6
17,1,0,5
17,1,0,4
17,1,0,3
11,5,1,0
11,5,1,1
11,5,1,2
11,5,1,3
11,5,1,4
17,2,1,4
11,5,1,6
11,5,1,7
11,5,1,8
11,5,1,9
11,5,1,10
17,1,0,2
17,2,1,0
17,2,1,1
17,2,1,2
17,2,1,3
11,5,1,5
2,2,1,10
11,5,3,8
11,5,3,9
11,5,3,10
11,1,3,4
11,1,3,3
11,1,3,2
11,1,3,1
11,1,3,0
2,2,0,4
12,1,0,10
12,1,0,9
12,1,0,8
12,1,0,7
12,1,0,6
12,1,0,5
17,2,3,0
17,2,3,1
17,2,3,2
17,2,3,3
15,4,3,10
2,2,0,5
2,2,0,6
2,2,0,7
2,2,0,8
2,2,0,9
2,2,0,10
11,5,3,2
11,5,3,3
11,5,3,4
11,5,3,5
2,2,1,9
11,5,3,7
2,2,1,0
2,2,1,1
2,2,1,2
2,2,1,3
2,2,1,4
2,2,1,5
2,2,1,6
2,2,1,7
2,2,1,8
11,5,3,6
7,3,3,2
7,3,3,1
7,3,3,0
12,1,3,6
12,1,3,7
12,1,3,8
12,1,3,9
12,1,3,10
17,2,0,0
17,1,0,7
17,2,0,2
17,2,0,3
17,2,0,4
17,2,0,5
2,1,3,0
2,1,3,1
2,1,3,2
2,1,3,3
2,1,3,4
2,1,3,5
17,2,0,1
12,1,3,4
12,1,3,5
7,3,3,10
7,3,3,9
2,1,1,0
2,1,1,1
2,1,1,2
2,1,1,3
2,1,1,4
7,3,3,3
2,1,1,6
2,1,1,7
2,1,1,8
2,1,1,9
2,1,1,10
7,3,3,8
7,3,3,7
7,3,3,6
7,3,3,5
7,3,3,4
2,1,1,5
7,3,1,1
7,3,1,0
11,5,0,5
11,5,0,6
11,5,0,7
11,5,0,8
11,5,0,9
11,5,0,10
7,3,0,10
2,1,3,6
7,3,0,8
7,3,0,7
7,3,0,6
7,3,0,5
7,3,0,4
7,3,0,3
7,3,0,2
7,3,0,1
7,3,0,0
17,2,0,10
7,3,0,9
2,1,3,7
2,1,3,8
2,1,3,9
2,1,3,10
17,2,0,6
17,2,0,7
17,2,0,8
17,2,0,9
11,5,0,0
11,5,0,1
7,3,1,2
11,5,0,3
11,5,0,4
7,3,1,10
7,3,1,9
7,3,1,8
7,3,1,7
7,3,1,6
7,3,1,5
7,3,1,4
7,3,1,3
11,5,0,2
11,3,0,2
9,2,1,10
9,2,1,9
9,2,1,8
9,2,1,7
9,2,1,6
9,2,1,5
9,2,1,4
9,2,1,3
17,4,1,1
9,2,1,1
9,2,1,0
11,3,0,1
11,3,0,0
15,5,0,10
15,5,0,9
9,2,0,10
9,2,0,9
9,2,0,8
9,2,1,2
9,2,3,0
15,2,3,0
4,4,3,0
4,4,3,1
4,4,3,2
4,4,3,3
4,4,3,4
4,4,3,5
4,4,3,6
11,3,0,3
4,4,3,8
4,4,3,9
4,4,3,10
11,3,0,9
11,3,0,8
11,3,0,7
11,3,0,6
11,3,0,5
11,3,0,4
4,4,3,7
15,1,0,6
15,1,0,7
15,1,0,8
15,1,0,9
15,1,0,10
15,2,1,8
15,2,1,7
15,2,1,6
15,2,1,5
9,2,0,7
15,2,1,3
15,1,1,0
15,1,1,1
15,1,1,2
15,1,1,3
15,1,1,4
15,1,1,5
15,1,1,6
15,1,1,7
15,2,1,4
9,2,0,6
9,2,0,5
9,2,0,4
9,2,0,3
9,2,0,2
9,2,0,1
9,2,0,0
15,5,0,8
15,5,0,7
15,1,0,5
15,5,0,5
15,5,0,4
15,5,0,3
15,2,1,10
15,2,1,9
15,1,0,0
15,1,0,1
15,1,0,2
15,1,0,3
15,1,0,4
15,5,0,6
11,3,1,4
11,3,1,3
11,3,1,2
11,3,1,1
11,3,1,0
15,5,1,1
15,5,1,0
4,4,0,0
4,4,0,1
9,2,3,1
4,4,0,3
4,4,0,4
4,4,0,5
4,4,0,6
4,4,0,7
4,4,0,8
4,4,0,9
4,4,0,10
11,3,0,10
4,4,0,2
17,4,1,2
17,4,1,3
17,4,1,4
12,4,0,10
12,4,0,9
12,4,0,8
12,4,0,7
12,4,0,6
12,4,0,5
17,4,1,10
12,4,0,3
12,4,0,2
12,4,0,1
12,4,0,0
17,4,1,5
17,4,1,6
17,4,1,7
17,4,1,8
17,4,1,9
12,4,0,4
17,4,3,3
17,4,3,4
17,4,3,5
17,4,3,6
17,4,3,7
17,4,3,8
17,4,3,9
17,4,3,10
15,2,3,2
15,2,3,10
9,2,3,10
9,2,3,9
9,2,3,8
9,2,3,7
9,2,3,6
9,2,3,5
9,2,3,4
9,2,3,3
9,2,3,2
15,2,3,1
15,2,3,9
4,4,1,0
4,4,1,1
4,4,1,2
4,4,1,3
4,4,1,4
4,4,1,5
4,4,1,6
4,4,1,7
17,4,3,2
4,4,1,9
4,4,1,10
15,2,3,8
15,2,3,7
15,2,3,6
15,2,3,5
15,2,3,4
15,2,3,3
17,4,3,0
17,4,3,1
4,4,1,8
4,5,3,4
4,5,3,5
4,5,3,6
4,5,3,7
4,5,3,8
4,5,3,9
4,5,3,10
12,3,1,8
12,3,1,7
15,1,1,8
12,3,1,5
17,5,3,10
17,5,3,9
17,5,3,8
17,5,3,7
17,5,3,6
17,5,3,5
17,5,3,4
17,5,3,3
12,3,1,6
15,2,0,2
15,2,0,1
15,2,0,0
9,1,0,10
9,1,0,9
9,1,0,8
9,1,0,7
9,1,0,6
9,1,0,5
4,5,3,3
9,1,0,3
9,1,0,2
9,1,0,1
9,1,0,0
12,3,1,10
12,3,1,9
4,5,3,0
4,5,3,1
4,5,3,2
9,1,0,4
17,5,1,5
17,5,1,4
17,5,1,3
17,5,1,2
17,5,1,1
17,5,1,0
12,3,0,1
12,3,0,0
17,5,0,10
17,5,3,2
17,5,0,8
17,5,0,7
17,5,0,6
17,5,0,5
17,5,0,4
17,5,0,3
17,5,0,2
17,5,0,1
17,5,0,0
17,5,0,9
17,5,3,1
17,5,3,0
12,3,1,4
12,3,1,3
12,3,1,2
12,3,1,1
12,3,1,0
12,3,0,10
12,3,0,9
17,5,1,6
12,3,0,7
12,3,0,6
12,3,0,5
12,3,0,4
12,3,0,3
12,3,0,2
17,5,1,10
17,5,1,9
17,5,1,8
17,5,1,7
12,3,0,8
15,1,3,2
15,1,3,3
15,1,3,4
15,1,3,5
4,5,0,0
4,5,0,1
4,5,0,2
4,5,0,3
4,5,0,4
15,2,0,3
4,5,0,6
4,5,0,7
4,5,0,8
4,5,0,9
4,5,0,10
15,1,3,6
15,1,3,7
15,1,3,8
9,1,3,10
4,5,0,5
15,1,1,9
15,1,1,10
15,2,1,2
15,2,1,1
15,2,1,0
15,5,0,2
15,5,0,1
15,5,0,0
12,3,3,10
15,1,3,1
12,3,3,8
12,3,3,7
12,3,3,6
12,3,3,5
12,3,3,4
12,3,3,3
12,3,3,2
12,3,3,1
12,3,3,0
15,1,3,0
12,3,3,9
4,5,1,9
4,5,1,10
15,2,0,9
15,2,0,8
15,2,0,7
15,2,0,6
15,2,0,5
15,2,0,4
9,1,1,10
9,1,3,9
9,1,1,8
9,1,1,7
9,1,1,6
9,1,1,5
9,1,1,4
9,1,1,3
9,1,1,2
9,1,1,1
9,1,1,0
9,1,1,9
9,1,3,8
9,1,3,7
9,1,3,6
9,1,3,5
9,1,3,4
9,1,3,3
9,1,3,2
9,1,3,1
9,1,3,0
4,5,1,8
15,1,3,10
15,2,0,10
4,5,1,0
4,5,1,1
4,5,1,2
4,5,1,3
4,5,1,4
4,5,1,5
4,5,1,6
4,5,1,7
15,1,3,9
12,2,1,7
12,2,1,8
2,5,0,0
2,5,0,1
2,5,0,2
2,5,0,3
2,5,0,4
2,5,0,5
12,5,1,2
2,5,0,7
2,5,0,8
2,5,0,9
2,5,0,10
12,2,1,9
12,2,1,10
11,3,3,2
9,4,3,10
9,4,3,9
2,5,0,6
12,2,0,4
12,2,0,5
12,2,0,6
12,2,0,7
12,2,0,8
12,2,0,9
12,2,0,10
7,5,3,5
7,5,3,6
12,2,1,6
7,5,3,8
7,5,3,9
7,5,3,10
12,2,1,0
12,2,1,1
12,2,1,2
12,2,1,3
12,2,1,4
12,2,1,5
7,5,3,7
2,5,1,8
2,5,1,9
2,5,1,10
11,2,3,9
11,2,3,10
17,3,3,1
12,5,1,0
9,4,1,10
9,4,1,9
9,4,3,8
9,4,1,7
9,4,1,6
9,4,1,5
9,4,1,4
9,4,1,3
9,4,1,2
9,4,1,1
9,5,1,9
12,5,1,1
9,4,1,8
9,4,3,7
9,4,3,6
9,4,3,5
9,4,3,4
9,4,3,3
9,4,3,2
9,4,3,1
9,4,3,0
11,3,3,1
2,5,1,7
11,2,3,8
4,2,1,0
2,5,1,0
2,5,1,1
2,5,1,2
2,5,1,3
2,5,1,4
2,5,1,5
2,5,1,6
11,3,3,0
12,5,0,7
9,5,0,10
9,5,0,9
9,5,0,8
9,5,0,7
9,5,0,6
9,5,0,5
9,5,0,4
9,5,0,3
15,3,0,0
9,5,0,1
9,5,0,0
12,5,0,6
12,5,0,5
12,5,0,4
12,5,0,3
12,5,0,2
12,5,0,1
12,5,0,0
9,5,0,2
9,5,1,8
9,5,1,7
9,5,1,6
9,5,1,5
9,5,1,4
9,5,1,3
9,5,1,10
17,3,3,4
17,3,3,3
12,5,0,8
4,2,1,10
4,2,1,9
9,5,1,2
9,5,1,1
9,5,1,0
17,3,3,5
17,3,3,6
12,5,0,10
12,5,0,9
17,3,3,2
15,3,1,0
7,5,3,3
4,2,1,2
4,2,1,1
7,5,3,4
12,2,0,0
12,2,0,1
12,2,0,2
12,2,0,3
17,3,3,7
15,3,0,9
15,3,0,8
15,3,0,7
15,3,0,6
15,3,0,5
15,3,0,4
15,3,0,3
15,3,0,2
15,3,0,1
15,3,0,10
17,3,3,8
17,3,3,9
17,3,3,10
4,2,3,0
4,2,3,1
4,2,1,8
4,2,1,7
4,2,1,6
4,2,1,5
4,2,3,10
4,2,1,3
4,2,3,2
4,2,3,3
4,2,3,4
4,2,3,5
4,2,3,6
4,2,3,7
4,2,3,8
4,2,3,9
4,2,1,4
9,3,3,7
9,3,3,6
9,3,3,5
9,3,3,4
9,3,3,3
9,3,3,2
9,3,3,1
9,3,3,0
17,4,0,3
12,4,3,10
17,4,0,5
17,4,0,6
17,4,0,7
17,4,0,8
17,4,0,9
17,4,0,10
11,3,1,10
11,3,1,9
9,5,3,3
17,4,0,4
9,4,1,0
12,4,3,8
12,4,3,7
12,4,3,6
12,4,3,5
12,4,3,4
12,4,3,3
12,4,3,2
12,4,3,1
9,3,3,8
12,2,3,10
15,5,1,4
15,5,1,3
15,5,1,2
17,4,0,0
17,4,0,1
17,4,0,2
9,3,3,10
9,3,3,9
12,4,3,0
9,5,3,4
9,3,1,0
12,4,1,3
12,4,1,2
12,4,1,1
12,4,1,0
11,3,1,5
17,4,1,0
9,3,0,10
9,5,3,6
9,3,0,8
9,3,0,7
9,3,0,6
9,3,0,5
9,3,0,4
9,3,0,3
9,3,0,2
9,3,0,1
9,3,0,0
9,3,0,9
11,3,1,8
11,3,1,7
11,3,1,6
12,4,1,10
12,4,1,9
12,4,1,8
12,4,1,7
12,4,1,6
12,4,1,5
9,3,1,1
9,3,1,10
9,3,1,9
9,3,1,8
9,3,1,7
9,3,1,6
9,3,1,5
9,3,1,4
9,3,1,3
9,3,1,2
12,4,1,4
4,3,0,7
4,3,0,8
4,3,0,9
4,3,0,10
12,5,1,4
9,5,3,0
15,5,1,10
15,5,1,9
9,5,3,2
15,5,1,7
4,3,1,0
4,3,1,1
4,3,1,2
4,3,1,3
4,3,1,4
4,3,1,5
4,3,1,6
9,5,3,1
15,5,1,8
4,3,0,0
4,3,0,1
4,3,0,2
4,3,0,3
9,4,0,10
9,4,0,9
9,4,0,8
9,4,0,7
4,3,0,6
9,4,0,5
9,4,0,4
12,5,1,3
9,4,0,3
9,4,0,2
9,4,0,1
9,4,0,0
4,3,0,4
4,3,0,5
9,4,0,6
2,5,3,9
12,2,3,9
12,2,3,4
12,2,3,5
12,2,3,6
4,3,3,0
4,3,3,1
4,3,3,2
4,3,3,3
2,5,3,8
4,3,3,5
4,3,3,6
4,3,3,7
4,3,3,8
4,3,3,9
4,3,3,10
12,2,3,7
12,2,3,8
12,4,3,9
4,3,3,4
4,3,1,7
4,3,1,8
4,3,1,9
4,3,1,10
15,5,1,6
15,5,1,5
12,2,3,0
12,2,3,1
12,2,3,2
12,2,3,3
2,5,3,10
2,5,3,1
2,5,3,2
2,5,3,3
2,5,3,4
2,5,3,5
2,5,3,6
2,5,3,7
2,5,3,0
