p0,p1,p2,p3
7,10,1,1
7,10,1,0
6,18,0,6
6,13,0,8
6,13,0,7
6,13,0,6
6,13,0,5
6,13,0,4
7,10,0,10
6,10,0,4
7,10,0,8
7,10,0,7
7,10,0,6
2,16,3,10
2,16,3,9
2,16,3,8
6,13,0,9
7,18,1,9
7,18,1,10
6,13,1,10
6,13,1,9
6,13,1,8
6,13,1,7
6,13,1,6
6,13,1,5
6,13,1,4
6,13,1,3
6,13,1,2
6,13,1,1
6,13,1,0
7,18,3,6
6,5,3,5
6,5,3,4
6,5,3,3
6,5,3,2
6,5,3,1
6,13,0,10
7,10,1,10
7,10,1,9
7,18,3,0
7,18,3,1
7,18,3,2
7,18,3,3
7,18,3,4
7,18,3,5
6,5,3,6
2,16,1,8
2,16,1,7
2,16,1,6
2,16,1,5
2,16,1,4
2,16,1,3
2,16,1,2
2,16,1,1
2,16,1,0
1,16,3,0
6,5,3,0
6,18,0,0
6,18,0,1
2,16,3,7
6,18,0,3
2,16,0,10
2,16,0,9
2,16,0,8
2,16,0,7
2,16,0,6
2,16,0,5
2,16,0,4
2,16,0,3
2,16,0,2
2,16,0,1
2,16,0,0
6,18,0,4
6,18,0,5
6,18,0,2
2,16,3,6
2,16,3,5
2,16,3,4
2,16,3,3
2,16,3,2
2,16,3,1
2,16,3,0
7,10,0,5
7,10,0,4
7,10,0,3
7,10,0,2
7,10,0,1
7,10,0,0
2,16,1,9
6,13,0,2
6,13,0,1
6,13,0,0
1,16,3,10
1,16,3,9
1,16,3,8
1,16,3,7
1,16,3,6
1,16,3,5
1,16,3,4
1,16,3,3
1,16,3,2
1,16,3,1
2,16,1,10
6,13,0,3
1,5,0,10
1,13,1,10
1,13,1,9
1,13,1,8
1,13,1,7
1,13,1,6
1,13,1,5
1,5,1,0
1,5,1,1
1,5,1,2
1,5,1,3
1,5,1,4
1,5,1,5
2,5,0,0
1,5,1,7
1,5,1,8
1,5,1,9
1,5,1,10
1,13,1,4
1,13,1,3
1,13,1,2
1,13,1,1
1,13,1,0
11,16,0,3
11,16,0,4
11,16,0,5
11,16,0,6
1,5,1,6
11,5,0,8
11,5,0,7
11,5,0,6
11,5,0,5
11,5,0,4
11,5,0,3
11,5,0,2
11,5,0,1
11,5,0,0
6,10,3,7
6,10,3,6
6,10,3,5
6,10,3,4
1,5,0,9
6,10,3,2
6,10,3,1
6,10,3,0
11,16,0,1
11,16,0,2
1,5,0,0
1,5,0,1
1,5,0,2
1,5,0,3
1,5,0,4
1,5,0,5
1,5,0,6
1,5,0,7
1,5,0,8
6,10,3,3
6,10,0,3
11,16,1,0
11,16,1,1
11,16,1,2
11,16,1,3
6,10,1,10
6,10,1,9
6,10,1,8
6,10,1,7
6,10,1,6
6,10,1,5
6,10,1,4
6,10,1,3
11,16,0,7
6,10,1,1
6,10,1,0
11,16,1,4
11,16,1,5
11,16,1,6
11,16,1,7
11,16,1,8
11,16,1,9
6,10,0,10
6,10,0,9
6,10,0,8
6,10,0,7
6,10,0,6
6,10,0,5
6,10,1,2
11,16,0,8
1,13,0,10
1,13,0,9
1,13,0,8
1,13,0,7
1,13,0,6
1,13,0,5
1,13,0,4
1,13,0,3
1,13,0,2
1,5,3,0
1,5,3,1
1,5,3,2
6,10,0,2
1,5,3,4
1,5,3,5
1,5,3,6
1,5,3,7
1,5,3,8
1,5,3,9
1,5,3,10
1,13,0,1
1,13,0,0
11,16,0,9
11,16,0,10
11,16,1,10
6,10,0,0
6,10,0,1
1,5,3,3
11,5,3,7
11,5,3,6
11,5,3,5
2,13,3,10
2,13,3,9
2,13,3,8
2,13,3,7
2,13,3,6
2,13,3,5
2,13,3,4
2,13,3,3
2,13,3,2
2,13,3,1
11,5,0,9
11,5,3,4
11,5,3,3
11,5,3,2
11,5,3,1
11,5,3,0
7,5,3,4
7,5,3,5
7,5,3,6
7,5,3,7
7,5,3,8
7,5,3,9
2,5,3,0
2,5,3,1
2,5,3,2
2,13,3,0
2,5,0,1
2,5,0,2
2,5,0,3
2,5,0,4
2,5,0,5
2,5,0,6
2,5,0,7
2,5,0,8
2,5,0,9
2,5,0,10
11,16,3,0
2,5,1,0
2,5,1,1
11,5,3,8
2,5,1,3
2,5,1,4
2,5,1,5
2,5,1,6
2,5,1,7
2,5,1,8
2,5,1,9
2,5,1,10
7,5,3,0
7,5,3,1
7,5,3,2
7,5,3,3
11,5,3,10
11,5,3,9
2,5,1,2
2,13,0,1
2,13,0,0
11,5,1,9
11,5,1,8
11,5,1,7
11,5,1,6
11,5,1,5
11,5,1,4
11,5,1,3
11,5,1,2
11,5,1,1
11,5,1,0
11,16,0,0
2,5,3,3
6,10,3,9
6,10,3,8
11,5,0,10
1,13,3,10
1,13,3,9
1,13,3,8
1,13,3,7
1,13,3,6
1,13,3,5
1,13,3,4
1,13,3,3
1,13,3,2
1,13,3,1
1,13,3,0
6,10,3,10
2,5,3,4
2,5,3,5
2,5,3,6
2,5,3,7
2,5,3,8
2,13,1,10
2,13,1,9
2,13,1,8
2,13,1,7
2,13,1,6
2,13,1,5
2,13,1,4
2,13,1,3
2,13,0,2
2,13,1,1
2,13,1,0
2,5,3,9
2,5,3,10
7,5,3,10
11,5,1,10
2,13,0,10
2,13,0,9
2,13,0,8
2,13,0,7
2,13,0,6
2,13,0,5
2,13,0,4
2,13,0,3
2,13,1,2
11,10,0,8
11,10,0,7
11,10,0,6
11,10,0,5
11,10,0,4
11,10,0,3
11,10,0,2
11,10,0,1
11,10,0,0
11,18,0,10
11,18,0,9
11,18,0,8
11,18,0,7
1,18,0,1
1,18,3,9
1,18,3,8
1,18,3,7
1,18,3,6
1,18,3,5
1,18,3,4
1,18,3,3
1,18,3,2
1,18,3,1
7,16,0,0
7,16,0,1
7,16,0,2
7,16,0,3
1,18,3,10
11,18,1,4
11,18,1,3
11,18,1,2
11,18,1,1
11,18,1,0
1,10,3,0
1,10,3,1
1,10,3,2
1,10,3,3
1,10,3,4
11,10,1,10
11,10,1,9
11,10,1,8
11,10,0,9
11,10,1,6
11,10,1,5
11,10,1,4
11,10,1,3
11,10,1,2
11,10,1,1
11,10,1,0
1,10,3,5
1,10,3,6
1,10,3,7
1,10,3,8
1,10,3,9
1,10,3,10
11,10,0,10
11,10,1,7
1,18,1,6
7,16,3,0
7,16,3,1
7,16,3,2
7,16,3,3
7,16,3,4
7,16,3,5
7,16,3,6
7,16,3,7
7,16,3,8
7,16,3,9
7,16,3,10
1,18,1,5
7,16,0,4
1,18,1,3
1,18,1,2
1,18,1,1
1,18,1,0
1,18,0,10
1,18,0,9
1,18,0,8
1,18,0,7
1,18,0,6
7,10,0,9
1,18,0,4
1,18,0,3
1,18,0,2
1,18,1,4
7,16,0,5
7,16,0,6
7,16,0,7
7,16,0,8
7,16,0,9
7,16,0,10
1,18,3,0
11,18,0,6
11,18,0,5
11,18,0,4
11,18,0,3
11,18,0,2
7,16,1,0
1,18,1,7
7,16,1,2
7,16,1,3
7,16,1,4
7,16,1,5
7,16,1,6
7,16,1,7
7,16,1,8
7,16,1,9
7,16,1,10
11,18,0,1
11,18,0,0
1,18,1,10
1,18,1,9
1,18,1,8
7,16,1,1
6,16,1,5
6,16,1,6
6,16,1,7
6,16,1,8
6,16,1,9
6,16,1,10
11,18,3,3
11,18,3,4
11,18,3,5
11,18,3,6
11,18,3,7
11,18,3,8
11,18,3,9
11,18,1,5
1,10,1,0
1,10,1,1
1,10,1,2
1,10,1,3
1,10,1,4
1,10,1,5
1,10,1,6
1,10,1,7
6,16,3,0
6,16,3,1
7,13,3,10
7,13,3,9
7,13,3,8
11,18,3,10
1,10,0,1
1,10,0,0
1,10,0,3
1,10,0,4
1,10,0,5
1,10,0,6
1,10,0,7
1,10,0,8
1,10,0,9
6,16,0,0
6,16,0,1
6,16,0,2
6,16,0,3
6,16,1,4
6,16,0,5
6,16,0,6
6,16,0,7
6,16,0,8
6,16,0,9
6,16,0,10
1,10,0,10
11,18,3,0
11,18,3,1
11,18,3,2
6,16,1,0
6,16,1,1
6,16,1,2
6,16,1,3
6,16,0,4
7,13,1,4
7,13,1,3
7,13,1,2
7,13,1,1
7,13,1,0
11,10,3,7
11,10,3,6
11,10,3,5
11,10,3,4
11,10,3,3
11,10,3,2
7,13,0,10
7,13,0,9
7,13,3,7
7,13,0,7
7,13,0,6
7,13,0,5
7,13,0,4
7,13,0,3
7,13,0,2
7,13,0,1
7,13,0,0
11,10,3,1
11,10,3,0
11,18,1,9
11,18,1,8
11,18,1,7
11,18,1,6
7,13,0,8
7,13,3,6
7,13,3,5
7,13,3,4
7,13,3,3
7,13,3,2
7,13,3,1
7,13,3,0
6,16,3,2
6,16,3,3
6,16,3,4
6,16,3,5
6,16,3,6
6,16,3,7
7,13,1,5
6,16,3,9
6,16,3,10
1,10,1,8
1,10,1,9
1,10,1,10
11,18,1,10
11,10,3,10
11,10,3,9
11,10,3,8
7,13,1,10
7,13,1,9
7,13,1,8
7,13,1,7
7,13,1,6
6,16,3,8
2,10,0,0
11,13,1,10
11,13,1,9
11,13,1,8
11,13,1,7
11,13,1,6
11,13,1,5
2,18,0,0
2,10,0,9
2,18,0,2
2,18,0,3
2,18,0,4
2,18,0,5
2,18,0,6
2,18,0,7
2,18,0,8
2,18,0,9
2,18,3,10
2,18,0,1
2,10,0,8
11,13,3,10
11,13,3,9
11,13,3,8
11,13,3,7
11,13,3,6
11,13,3,5
11,13,3,4
2,10,0,1
11,13,3,2
2,18,1,1
11,13,3,0
2,10,0,7
2,10,0,6
2,10,0,5
2,10,0,4
2,10,0,3
2,10,0,2
11,13,3,3
11,13,0,7
11,13,0,8
11,13,0,9
11,13,0,10
1,18,0,5
11,13,1,2
11,13,1,1
11,13,1,0
2,18,3,9
2,18,1,9
2,18,1,0
2,18,1,8
2,18,1,7
2,18,1,6
2,18,1,5
2,18,1,4
2,18,1,3
2,18,1,2
2,18,1,10
2,18,3,8
2,18,3,7
2,18,3,6
2,18,3,5
2,18,3,4
2,18,3,3
2,18,3,2
2,18,3,1
11,13,0,6
2,18,0,10
11,13,1,4
11,13,1,3
11,13,0,0
11,13,0,1
11,13,0,2
11,13,0,3
11,13,0,4
11,13,0,5
2,18,3,0
7,18,0,4
7,18,0,3
7,18,0,2
7,18,0,1
7,18,0,0
7,10,3,4
7,10,3,5
7,10,3,6
7,10,3,7
2,10,1,5
7,10,3,9
7,10,3,10
6,5,3,9
6,5,3,10
2,10,1,10
2,10,1,9
2,10,1,8
2,10,1,7
2,10,1,6
7,10,3,8
7,18,1,7
7,18,1,6
7,18,1,5
7,18,1,4
7,18,1,3
7,18,1,2
7,18,1,1
7,18,1,0
6,5,3,7
7,18,0,5
7,10,3,0
7,10,3,1
7,10,3,2
7,10,3,3
7,18,0,10
7,18,0,9
7,18,0,8
7,18,0,7
7,18,0,6
6,5,3,8
11,13,3,1
1,18,0,0
6,13,3,10
6,13,3,9
6,13,3,8
6,13,3,7
6,13,3,6
6,13,3,5
6,13,3,4
6,13,3,3
6,13,3,2
6,13,3,1
6,13,3,0
2,10,1,0
2,10,0,10
2,10,1,4
2,10,1,1
2,10,1,2
2,10,1,3
