p0,p1,p2,p3
19,16,5,0
11,0,0,0
11,0,1,0
11,0,2,0
11,0,3,0
11,0,4,0
11,0,5,0
11,1,0,0
11,1,1,0
11,1,2,0
11,1,3,0
11,1,4,0
11,1,5,0
11,2,0,0
11,2,1,0
11,2,2,0
11,2,3,0
11,2,4,0
11,2,5,0
11,3,0,0
11,3,1,0
11,3,2,0
11,3,3,0
11,3,4,0
19,7,2,0
19,7,3,0
19,7,4,0
19,7,5,0
19,8,0,0
19,8,1,0
19,8,2,0
19,8,3,0
19,6,0,0
19,6,1,0
19,6,2,0
19,6,3,0
19,6,4,0
19,6,5,0
19,7,0,0
19,7,1,0
19,4,4,0
19,4,5,0
19,5,0,0
19,5,1,0
19,5,2,0
19,5,3,0
19,5,4,0
19,5,5,0
19,3,2,0
19,3,3,0
19,3,4,0
19,3,5,0
19,4,0,0
19,4,1,0
19,4,2,0
19,4,3,0
11,16,2,0
11,16,3,0
11,16,4,0
11,16,5,0
12,0,0,0
12,0,1,0
12,0,2,0
12,0,3,0
11,15,0,0
11,15,1,0
11,15,2,0
11,15,3,0
11,15,4,0
11,15,5,0
11,16,0,0
11,16,1,0
11,10,4,0
11,10,5,0
11,14,0,0
11,14,1,0
11,14,2,0
11,14,3,0
11,14,4,0
11,14,5,0
11,9,2,0
11,9,3,0
11,9,4,0
11,9,5,0
11,10,0,0
11,10,1,0
11,10,2,0
11,10,3,0
12,4,4,0
12,4,5,0
12,5,0,0
12,5,1,0
12,5,2,0
12,5,3,0
12,5,4,0
12,5,5,0
12,3,2,0
12,3,3,0
12,3,4,0
12,3,5,0
12,4,0,0
12,4,1,0
12,4,2,0
12,4,3,0
12,2,0,0
12,2,1,0
12,2,2,0
12,2,3,0
12,2,4,0
12,2,5,0
12,3,0,0
12,3,1,0
12,0,4,0
12,0,5,0
12,1,0,0
12,1,1,0
12,1,2,0
12,1,3,0
12,1,4,0
12,1,5,0
12,10,0,0
12,10,1,0
12,10,2,0
12,10,3,0
12,10,4,0
12,10,5,0
12,14,0,0
12,14,1,0
12,8,4,0
12,8,5,0
12,9,0,0
12,9,1,0
12,9,2,0
12,9,3,0
12,9,4,0
12,9,5,0
12,7,2,0
12,7,3,0
12,7,4,0
12,7,5,0
12,8,0,0
12,8,1,0
12,8,2,0
12,8,3,0
12,6,0,0
12,6,1,0
12,6,2,0
12,6,3,0
12,6,4,0
12,6,5,0
12,7,0,0
12,7,1,0
13,1,2,0
13,1,3,0
13,1,4,0
13,1,5,0
13,2,0,0
13,2,1,0
13,2,2,0
13,2,3,0
13,0,0,0
13,0,1,0
13,0,2,0
13,0,3,0
13,0,4,0
13,0,5,0
13,1,0,0
13,1,1,0
12,15,4,0
12,15,5,0
12,16,0,0
12,16,1,0
12,16,2,0
12,16,3,0
12,16,4,0
12,16,5,0
12,14,2,0
12,14,3,0
12,14,4,0
12,14,5,0
12,15,0,0
12,15,1,0
12,15,2,0
12,15,3,0
13,6,4,0
13,6,5,0
13,7,0,0
13,7,1,0
13,7,2,0
13,7,3,0
13,7,4,0
13,7,5,0
13,5,2,0
13,5,3,0
13,5,4,0
13,5,5,0
13,6,0,0
13,6,1,0
13,6,2,0
13,6,3,0
13,4,0,0
13,4,1,0
13,4,2,0
13,4,3,0
13,4,4,0
13,4,5,0
13,5,0,0
13,5,1,0
13,2,4,0
13,2,5,0
13,3,0,0
13,3,1,0
13,3,2,0
13,3,3,0
13,3,4,0
13,3,5,0
13,15,0,0
13,15,1,0
13,15,2,0
13,15,3,0
13,15,4,0
13,15,5,0
13,16,0,0
13,16,1,0
13,10,4,0
13,10,5,0
13,14,0,0
13,14,1,0
13,14,2,0
13,14,3,0
13,14,4,0
13,14,5,0
13,9,2,0
13,9,3,0
13,9,4,0
13,9,5,0
13,10,0,0
13,10,1,0
13,10,2,0
13,10,3,0
13,8,0,0
13,8,1,0
13,8,2,0
13,8,3,0
13,8,4,0
13,8,5,0
13,9,0,0
13,9,1,0
17,3,2,0
17,3,3,0
17,3,4,0
17,3,5,0
17,4,0,0
17,4,1,0
17,4,2,0
17,4,3,0
17,2,0,0
17,2,1,0
17,2,2,0
