f0,f1,f2,f3,X0,X1,X2,X3,Sum
3,0,2,0,52136,1176,16464,84,69860
6,5,7,3,1176,84,52136,16464,69860
3,0,0,7,16464,52136,1176,84,69860
6,5,5,1,1176,84,52136,16464,69860
1,6,0,6,1176,52136,84,16464,69860
6,0,7,5,16464,1176,52136,84,69860
6,5,6,4,52136,84,16464,1176,69860
6,5,6,1,16464,84,52136,1176,69860
3,0,0,4,52136,16464,1176,84,69860
6,5,5,2,1176,84,16464,52136,69860
7,5,0,0,52136,84,1176,16464,69860
7,3,6,6,52136,16464,84,1176,69860
1,6,6,3,84,52136,16464,1176,69860
0,3,4,6,1176,52136,84,16464,69860
5,1,6,6,52136,16464,84,1176,69860
5,2,0,3,1176,52136,84,16464,69860
5,2,0,5,16464,52136,84,1176,69860
3,2,6,6,16464,52136,1176,84,69860
5,2,5,3,84,52136,1176,16464,69860
5,2,5,6,1176,52136,84,16464,69860
0,3,5,7,84,52136,1176,16464,69860
3,2,6,3,1176,52136,16464,84,69860
0,3,5,2,84,16464,1176,52136,69860
5,2,6,5,16464,52136,1176,84,69860
5,2,6,6,16464,52136,84,1176,69860
5,3,2,0,52136,1176,84,16464,69860
0,3,4,3,84,52136,1176,16464,69860
7,5,6,0,52136,84,16464,1176,69860
3,2,5,5,1176,52136,16464,84,69860
5,7,0,3,1176,16464,84,52136,69860
5,3,1,0,16464,1176,84,52136,69860
7,5,6,5,52136,1176,16464,84,69860
3,1,3,0,52136,84,16464,1176,69860
5,3,1,3,1176,16464,84,52136,69860
5,7,0,0,16464,1176,84,52136,69860
3,2,5,3,84,52136,16464,1176,69860
5,1,6,5,52136,16464,1176,84,69860
7,0,6,6,52136,16464,1176,84,69860
5,1,3,6,52136,1176,84,16464,69860
5,1,3,0,52136,84,1176,16464,69860
5,0,4,5,16464,52136,1176,84,69860
4,5,3,3,1176,84,16464,52136,69860
0,4,6,5,1176,16464,52136,84,69860
5,0,4,6,16464,52136,84,1176,69860
0,4,6,3,84,16464,52136,1176,69860
7,3,3,6,52136,1176,84,16464,69860
0,4,5,5,84,16464,52136,1176,69860
5,0,6,4,52136,16464,1176,84,69860
2,0,5,5,1176,16464,52136,84,69860
3,3,0,7,16464,52136,84,1176,69860
0,4,5,0,84,1176,52136,16464,69860
5,0,6,7,16464,52136,1176,84,69860
2,0,5,3,84,16464,52136,1176,69860
5,1,0,0,52136,1176,84,16464,69860
5,1,0,5,52136,16464,84,1176,69860
7,5,3,6,52136,84,1176,16464,69860
5,7,3,6,16464,1176,84,52136,69860
0,4,3,3,84,1176,52136,16464,69860
0,4,3,0,1176,84,52136,16464,69860
3,3,0,4,52136,16464,84,1176,69860
5,7,3,0,16464,84,1176,52136,69860
0,3,1,6,1176,16464,84,52136,69860
0,3,1,3,84,16464,1176,52136,69860
3,3,2,6,52136,16464,84,1176,69860
7,0,0,5,52136,16464,1176,84,69860
6,3,3,2,16464,84,1176,52136,69860
5,5,1,6,16464,1176,84,52136,69860
5,5,2,0,52136,84,1176,16464,69860
5,5,2,6,52136,1176,84,16464,69860
0,2,0,6,1176,52136,84,16464,69860
3,2,0,6,16464,52136,84,1176,69860
0,2,0,3,84,52136,1176,16464,69860
5,5,3,2,16464,84,1176,52136,69860
5,5,3,4,52136,84,1176,16464,69860
6,3,2,6,52136,1176,84,16464,69860
3,2,0,5,16464,52136,1176,84,69860
0,3,0,7,1176,52136,84,16464,69860
6,3,2,0,52136,84,1176,16464,69860
6,3,1,6,16464,1176,84,52136,69860
2,0,3,5,16464,1176,52136,84,69860
5,6,0,2,1176,16464,84,52136,69860
5,6,0,7,1176,52136,84,16464,69860
3,1,6,0,52136,1176,16464,84,69860
5,6,1,3,84,16464,1176,52136,69860
5,6,1,6,1176,16464,84,52136,69860
6,3,1,0,16464,84,1176,52136,69860
6,3,0,4,52136,1176,84,16464,69860
2,0,3,0,16464,84,52136,1176,69860
7,0,0,6,52136,16464,84,1176,69860
5,5,1,0,16464,84,1176,52136,69860
5,5,0,4,52136,1176,84,16464,69860
5,3,2,5,52136,16464,84,1176,69860
0,3,0,2,1176,16464,84,52136,69860
5,6,5,7,84,52136,1176,16464,69860
5,3,3,2,16464,1176,84,52136,69860
5,3,3,4,52136,1176,84,16464,69860
5,6,5,2,84,16464,1176,52136,69860
5,3,4,3,1176,52136,84,16464,69860
0,2,6,5,1176,52136,16464,84,69860
5,3,4,5,16464,52136,84,1176,69860
0,2,6,3,84,52136,16464,1176,69860
5,6,4,6,1176,52136,84,16464,69860
5,3,5,2,1176,16464,84,52136,69860
0,2,5,6,84,52136,1176,16464,69860
0,2,5,5,84,52136,16464,1176,69860
3,1,3,5,52136,1176,16464,84,69860
5,6,4,3,84,52136,1176,16464,69860
5,3,5,7,1176,52136,84,16464,69860
5,3,6,4,52136,16464,84,1176,69860
5,3,6,7,16464,52136,84,1176,69860
6,3,3,4,52136,84,1176,16464,69860
5,5,0,2,16464,1176,84,52136,69860
3,3,2,5,52136,16464,1176,84,69860
7,5,3,5,52136,84,16464,1176,69860
3,1,0,6,52136,16464,84,1176,69860
0,7,0,6,1176,16464,84,52136,69860
0,7,0,3,84,16464,1176,52136,69860
6,1,6,5,52136,1176,16464,84,69860
0,6,7,5,84,16464,52136,1176,69860
4,6,3,3,84,1176,16464,52136,69860
2,6,5,0,84,1176,52136,16464,69860
0,6,7,0,84,1176,52136,16464,69860
0,6,6,7,84,52136,16464,1176,69860
0,6,6,1,84,16464,52136,1176,69860
3,4,3,0,16464,84,52136,1176,69860
2,6,3,3,84,1176,52136,16464,69860
6,0,2,5,52136,1176,16464,84,69860
0,0,6,7,1176,52136,16464,84,69860
0,6,4,6,84,52136,1176,16464,69860
0,6,4,5,84,52136,16464,1176,69860
4,6,5,0,84,1176,16464,52136,69860
6,7,5,0,1176,84,16464,52136,69860
2,6,3,0,1176,84,52136,16464,69860
3,1,6,6,52136,16464,1176,84,69860
4,6,5,6,84,16464,1176,52136,69860
0,6,3,1,84,1176,52136,16464,69860
6,4,6,5,16464,1176,52136,84,69860
4,6,3,0,1176,84,16464,52136,69860
0,0,6,1,1176,16464,52136,84,69860
0,6,1,6,84,16464,1176,52136,69860
7,5,0,6,52136,1176,84,16464,69860
1,3,5,6,1176,52136,84,16464,69860
0,7,5,6,84,16464,1176,52136,69860
1,6,6,5,1176,52136,16464,84,69860
4,5,3,6,16464,84,1176,52136,69860
6,0,3,4,52136,84,16464,1176,69860
0,7,5,0,84,1176,16464,52136,69860
6,5,0,4,52136,84,1176,16464,69860
4,5,5,0,1176,84,16464,52136,69860
4,5,5,3,84,1176,16464,52136,69860
6,5,0,2,16464,84,1176,52136,69860
